ep_date,dt,role,name
Thursday May 24,2018-05-23T14:00:00Z,panel,Paul Zahra
Wednesday May 23,2018-05-22T14:00:00Z,panel,Elaine Pearson
Wednesday May 23,2018-05-22T14:00:00Z,panel,Erin Watson-Lynn
Wednesday May 23,2018-05-22T14:00:00Z,panel,Katharine Murphy
Wednesday May 23,2018-05-22T14:00:00Z,panel,Simon Cowan
Tuesday May 22,2018-05-21T14:00:00Z,panel,Kerry Chikarovski
Tuesday May 22,2018-05-21T14:00:00Z,panel,Margo Kingston
Tuesday May 22,2018-05-21T14:00:00Z,panel,Michael Biercuk
Tuesday May 22,2018-05-21T14:00:00Z,panel,Paul Bongiorno
Monday May 21,2018-05-20T14:00:00Z,panel,Warren Mundine
Monday May 21,2018-05-20T14:00:00Z,panel,Stefanee Lovett
Monday May 21,2018-05-20T14:00:00Z,panel,Peter Van Onselen
Monday May 21,2018-05-20T14:00:00Z,panel,Noel Debien
Friday May 18,2018-05-17T14:00:00Z,panel,NA
Thursday May 17,2018-05-16T14:00:00Z,panel,Rick Morton
Thursday May 17,2018-05-16T14:00:00Z,panel,Katrina Hodgkinson
Thursday May 17,2018-05-16T14:00:00Z,panel,Darren Saunders
Thursday May 17,2018-05-16T14:00:00Z,panel,Jane Gilmore
Wednesday May 16,2018-05-15T14:00:00Z,panel,Avril Henry
Wednesday May 16,2018-05-15T14:00:00Z,panel,Bridie Jabour
Wednesday May 16,2018-05-15T14:00:00Z,panel,Josh Manuatu
Wednesday May 16,2018-05-15T14:00:00Z,panel,Tim Soutphommasane
Tuesday May 15,2018-05-14T14:00:00Z,panel,Greg Sheridan
Tuesday May 15,2018-05-14T14:00:00Z,panel,Jacqueline Maley
Tuesday May 15,2018-05-14T14:00:00Z,panel,Saman Shad
Monday May 14,2018-05-13T14:00:00Z,panel,Ayten Saridas
Monday May 14,2018-05-13T14:00:00Z,panel,Peter Hartcher
Monday May 14,2018-05-13T14:00:00Z,panel,Van Badham
Friday May 11,2018-05-10T14:00:00Z,panel,Tory Shepherd
Friday May 11,2018-05-10T14:00:00Z,panel,Niki Savva
Friday May 11,2018-05-10T14:00:00Z,panel,Kerryn Phelps
Friday May 11,2018-05-10T14:00:00Z,panel,Bill Crews
Thursday May 10,2018-05-09T14:00:00Z,panel,Fiona Simson
Thursday May 10,2018-05-09T14:00:00Z,panel,Miriam Lyons
Thursday May 10,2018-05-09T14:00:00Z,panel,Adam Creighton
Thursday May 10,2018-05-09T14:00:00Z,panel,Peter Abetz
Wednesday May 9,2018-05-08T14:00:00Z,panel,Nicki Hutley
Wednesday May 9,2018-05-08T14:00:00Z,panel,Graeme Innes
Wednesday May 9,2018-05-08T14:00:00Z,panel,Alice Workman
Wednesday May 9,2018-05-08T14:00:00Z,panel,Judith Sloan
Tuesday May 8,2018-05-07T14:00:00Z,panel,Tracy McLeod Howe
Tuesday May 8,2018-05-07T14:00:00Z,panel,Jamila Rizvi
Tuesday May 8,2018-05-07T14:00:00Z,panel,Dr Michael Salter
Monday May 7,2018-05-06T14:00:00Z,panel,Ben Oquist
Monday May 7,2018-05-06T14:00:00Z,panel,Jennifer Hewett
Monday May 7,2018-05-06T14:00:00Z,panel,Kate Mills
Monday May 7,2018-05-06T14:00:00Z,panel,Adam Carrel
Friday May 4,2018-05-03T14:00:00Z,panel,NA
Thursday May 3,2018-05-02T14:00:00Z,panel,Bernard Keane
Thursday May 3,2018-05-02T14:00:00Z,panel,Lydia Shelly
Thursday May 3,2018-05-02T14:00:00Z,panel,Cate McGregor
Thursday May 3,2018-05-02T14:00:00Z,panel,Aaron Patrick
Wednesday May 2,2018-05-01T14:00:00Z,panel,Angela Vithoulkas
Wednesday May 2,2018-05-01T14:00:00Z,panel,Bruce Hawker
Wednesday May 2,2018-05-01T14:00:00Z,panel,Cassandra Goldie
Wednesday May 2,2018-05-01T14:00:00Z,panel,Kate Carnell
Tuesday May 1,2018-04-30T14:00:00Z,panel,Michael Pascoe
Tuesday May 1,2018-04-30T14:00:00Z,panel,Lisa Annese
Tuesday May 1,2018-04-30T14:00:00Z,panel,Katherine O'Regan
Monday April 30,2018-04-29T14:00:00Z,panel,John Blaxland
Monday April 30,2018-04-29T14:00:00Z,panel,Caroline Overington
Monday April 30,2018-04-29T14:00:00Z,panel,Ian Verrender
Monday April 30,2018-04-29T14:00:00Z,panel,Jane Caro
Friday April 27,2018-04-26T14:00:00Z,panel,Mara Bún
Friday April 27,2018-04-26T14:00:00Z,panel,Kate McClymont
Friday April 27,2018-04-26T14:00:00Z,panel,Craig Chung
Thursday April 26,2018-04-25T14:00:00Z,panel,Graeme Innes
Thursday April 26,2018-04-25T14:00:00Z,panel,Tasneem Chopra
Thursday April 26,2018-04-25T14:00:00Z,panel,Holly Ransom
Thursday April 26,2018-04-25T14:00:00Z,panel,Jane Fitzgerald
Wednesday April 25,2018-04-24T14:00:00Z,panel,Gary Oakley
Wednesday April 25,2018-04-24T14:00:00Z,panel,Rabia Siddique
Wednesday April 25,2018-04-24T14:00:00Z,panel,Chris Barrie
Wednesday April 25,2018-04-24T14:00:00Z,panel,Ben Quilty
Tuesday April 24,2018-04-23T14:00:00Z,panel,Brooke Boney
Tuesday April 24,2018-04-23T14:00:00Z,panel,Rick Morton
Tuesday April 24,2018-04-23T14:00:00Z,panel,Jason Ball
Tuesday April 24,2018-04-23T14:00:00Z,panel,Peter Collins
Monday April 23,2018-04-22T14:00:00Z,panel,Malcolm Farr
Monday April 23,2018-04-22T14:00:00Z,panel,Jennifer Hewett
Monday April 23,2018-04-22T14:00:00Z,panel,Chris Berg
Monday April 23,2018-04-22T14:00:00Z,panel,Van Badham
Friday April 20,2018-04-19T14:00:00Z,panel,Chris Pepin-Neff
Friday April 20,2018-04-19T14:00:00Z,panel,Jane Caro
Friday April 20,2018-04-19T14:00:00Z,panel,Councillor Dai Le
Friday April 20,2018-04-19T14:00:00Z,panel,Amanda Rose
Thursday April 19,2018-04-18T14:00:00Z,panel,Alice Workman
Thursday April 19,2018-04-18T14:00:00Z,panel,Ming Long
Thursday April 19,2018-04-18T14:00:00Z,panel,Katie Acheson
Thursday April 19,2018-04-18T14:00:00Z,panel,Michael Roddan
Wednesday April 18,2018-04-17T14:00:00Z,panel,Darren Saunders
Wednesday April 18,2018-04-17T14:00:00Z,panel,Annika Smethurst
Tuesday April 17,2018-04-16T14:00:00Z,panel,NA
Monday April 16,2018-04-15T14:00:00Z,panel,Robyn Parker
Monday April 16,2018-04-15T14:00:00Z,panel,Ben Law
Monday April 16,2018-04-15T14:00:00Z,panel,Fiona Simson
Monday April 16,2018-04-15T14:00:00Z,panel,Peter Hartcher
Friday April 13,2018-04-12T14:00:00Z,panel,Daniel Wild
Friday April 13,2018-04-12T14:00:00Z,panel,Jennifer Rayner
Friday April 13,2018-04-12T14:00:00Z,panel,Chas Licciardello
Friday April 13,2018-04-12T14:00:00Z,panel,Nicki Hutley
Thursday 12 April,NA,panel,NA
Wednesday April 11,2018-04-10T14:00:00Z,panel,Geoffrey Winters
Wednesday April 11,2018-04-10T14:00:00Z,panel,Judith Sloan
Wednesday April 11,2018-04-10T14:00:00Z,panel,Tim Soutphommasane
Tuesday April 10,2018-04-09T14:00:00Z,panel,Caroline Overington
Tuesday April 10,2018-04-09T14:00:00Z,panel,Kerryn Phelps
Tuesday April 10,2018-04-09T14:00:00Z,panel,Michael Biercuk
Tuesday April 10,2018-04-09T14:00:00Z,panel,Erik Jensen
Monday April 9,2018-04-08T14:00:00Z,panel,Sharri Markson
Monday April 9,2018-04-08T14:00:00Z,panel,Nassim Khadem
Monday April 9,2018-04-08T14:00:00Z,panel,Katharine Murphy
Monday April 9,2018-04-08T14:00:00Z,panel,Josh Bornstein
Friday April 6,2018-04-05T14:00:00Z,panel,Rick Morton
Friday April 6,2018-04-05T14:00:00Z,panel,Jan Fran
Friday April 6,2018-04-05T14:00:00Z,panel,James Arvanitakis
Friday April 6,2018-04-05T14:00:00Z,panel,Tony Mahar
Thursday April 5,2018-04-04T14:00:00Z,panel,Rory O’Connor
Thursday April 5,2018-04-04T14:00:00Z,panel,Gray Connolly
Thursday April 5,2018-04-04T14:00:00Z,panel,Anne Davies
Thursday April 5,2018-04-04T14:00:00Z,panel,Michael Jensen
Wednesday April 4,2018-04-03T14:00:00Z,panel,Ali Kadri
Wednesday April 4,2018-04-03T14:00:00Z,panel,Dr Lindy Edwards
Wednesday April 4,2018-04-03T14:00:00Z,panel,Mark Kenny
Wednesday April 4,2018-04-03T14:00:00Z,panel,Dr John Hewson
Tuesday April 3,2018-04-02T14:00:00Z,panel,David Hetherington
Tuesday April 3,2018-04-02T14:00:00Z,panel,Dr Jane Fynes-Clinton
Tuesday April 3,2018-04-02T14:00:00Z,panel,Terry Barnes
Tuesday April 3,2018-04-02T14:00:00Z,panel,Bianca Hunt
Monday April 2,2018-04-01T14:00:00Z,panel,Louise Robert-Smith
Monday April 2,2018-04-01T14:00:00Z,panel,Dr Stefan Hajkowicz
Monday April 2,2018-04-01T14:00:00Z,panel,Dr Amantha Imber
Monday April 2,2018-04-01T14:00:00Z,panel,Adam Carrel
Thursday March 29,2018-03-28T13:00:00Z,panel,Adam Ni
Thursday March 29,2018-03-28T13:00:00Z,panel,Georgina Dent
Thursday March 29,2018-03-28T13:00:00Z,panel,Peter Fitzsimons
Thursday March 29,2018-03-28T13:00:00Z,panel,Adam Creighton
Wednesday March 28,2018-03-27T13:00:00Z,panel,Angela Vithoulkas
Wednesday March 28,2018-03-27T13:00:00Z,panel,Kate Eastman
Wednesday March 28,2018-03-27T13:00:00Z,panel,Malcolm Farr
Tuesday March 27,2018-03-26T13:00:00Z,panel,David Borger
Tuesday March 27,2018-03-26T13:00:00Z,panel,Gordon Flake
Tuesday March 27,2018-03-26T13:00:00Z,panel,Kerry Chikarovski
Tuesday March 27,2018-03-26T13:00:00Z,panel,Ngiare Brown
Monday March 26,2018-03-25T13:00:00Z,panel,Karen Middleton
Monday March 26,2018-03-25T13:00:00Z,panel,Avril Henry
Monday March 26,2018-03-25T13:00:00Z,panel,Parnell McGuinness
Monday March 26,2018-03-25T13:00:00Z,panel,Francis Leach
Friday March 23,2018-03-22T13:00:00Z,panel,Edwina Throsby
Friday March 23,2018-03-22T13:00:00Z,panel,Tracy McLeod Howe
Friday March 23,2018-03-22T13:00:00Z,panel,Josephine Cashman
Thursday March 22,2018-03-21T13:00:00Z,panel,Geraldine Doogue
Thursday March 22,2018-03-21T13:00:00Z,panel,James Morrow
Thursday March 22,2018-03-21T13:00:00Z,panel,Shen Narayanasamy
Thursday March 22,2018-03-21T13:00:00Z,panel,Suelette Dreyfus
Wednesday March 21,2018-03-20T13:00:00Z,panel,Andrew Charlton
Wednesday March 21,2018-03-20T13:00:00Z,panel,Alastair McEwin
Wednesday March 21,2018-03-20T13:00:00Z,panel,Mara Bun
Wednesday March 21,2018-03-20T13:00:00Z,panel,Ian Verrender
Tuesday March 20,2018-03-19T13:00:00Z,panel,Kate Mills
Tuesday March 20,2018-03-19T13:00:00Z,panel,Dr Chris Pepin-Neff
Tuesday March 20,2018-03-19T13:00:00Z,panel,Greg Sheridan
Tuesday March 20,2018-03-19T13:00:00Z,panel,Alan Kirkland
Monday March 19,2018-03-18T13:00:00Z,panel,Van Badham
Monday March 19,2018-03-18T13:00:00Z,panel,Simon Cowan
Monday March 19,2018-03-18T13:00:00Z,panel,Greg Whitby
Monday March 19,2018-03-18T13:00:00Z,panel,Amanda Vanstone
Friday March 16,2018-03-15T13:00:00Z,panel,Tory Shepherd
Friday March 16,2018-03-15T13:00:00Z,panel,Nicky Ison
Friday March 16,2018-03-15T13:00:00Z,panel,Daniel Wild
Friday March 16,2018-03-15T13:00:00Z,panel,Paul Farrell
Thursday March 15,2018-03-14T13:00:00Z,panel,Adam Creighton
Thursday March 15,2018-03-14T13:00:00Z,panel,Shireen Morris
Thursday March 15,2018-03-14T13:00:00Z,panel,Hamish McDonald
Thursday March 15,2018-03-14T13:00:00Z,panel,Osman Faruqi
Wednesday March 14,2018-03-13T13:00:00Z,panel,Stefanee Lovett
Wednesday March 14,2018-03-13T13:00:00Z,panel,Rory O’Connor
Wednesday March 14,2018-03-13T13:00:00Z,panel,Michael Biercuk
Wednesday March 14,2018-03-13T13:00:00Z,panel,Holly Ransom
Tuesday March 13,2018-03-12T13:00:00Z,panel,Peter Lewis
Tuesday March 13,2018-03-12T13:00:00Z,panel,Peter Martin
Tuesday March 13,2018-03-12T13:00:00Z,panel,Karen Den-Toll
Tuesday March 13,2018-03-12T13:00:00Z,panel,Joanna Mather
Monday March 12,2018-03-11T13:00:00Z,panel,NA
Friday March 9,2018-03-08T13:00:00Z,panel,Gray Connolly
Friday March 9,2018-03-08T13:00:00Z,panel,Norman Swan
Friday March 9,2018-03-08T13:00:00Z,panel,Rabia Siddique
Thursday March 8,2018-03-07T13:00:00Z,panel,Fiona Simson
Thursday March 8,2018-03-07T13:00:00Z,panel,Nakkiah Lui
Thursday March 8,2018-03-07T13:00:00Z,panel,Jacqui Lambie
Thursday March 8,2018-03-07T13:00:00Z,panel,Randa Abdel Fattah
Thursday March 8,2018-03-07T13:00:00Z,panel,Francesca Donner
Wednesday March 7,2018-03-06T13:00:00Z,panel,Kim Doherty
Wednesday March 7,2018-03-06T13:00:00Z,panel,James Arvanitakis
Wednesday March 7,2018-03-06T13:00:00Z,panel,Kate Carnell
Wednesday March 7,2018-03-06T13:00:00Z,panel,Nyadol Nyuon
Tuesday March 6,2018-03-05T13:00:00Z,panel,Jacinta Price
Tuesday March 6,2018-03-05T13:00:00Z,panel,Kylar Loussikian
Tuesday March 6,2018-03-05T13:00:00Z,panel,Deborah Cheetham
Tuesday March 6,2018-03-05T13:00:00Z,panel,Lisa Annese
Monday March 5,2018-03-04T13:00:00Z,panel,Mara Bún
Monday March 5,2018-03-04T13:00:00Z,panel,Geoffrey Winters
Monday March 5,2018-03-04T13:00:00Z,panel,Nicki Hutley
Monday March 5,2018-03-04T13:00:00Z,panel,David Hetherington
Friday March 2,2018-03-01T13:00:00Z,panel,Ian Hickie
Friday March 2,2018-03-01T13:00:00Z,panel,Emma Hogan
Friday March 2,2018-03-01T13:00:00Z,panel,Rick Morton
Friday March 2,2018-03-01T13:00:00Z,panel,David Beniuk
Thursday March 1,2018-02-28T13:00:00Z,panel,Caroline Overington
Thursday March 1,2018-02-28T13:00:00Z,panel,Tasneem Chopra
Thursday March 1,2018-02-28T13:00:00Z,panel,Deborah Clay
Wednesday February 28,2018-02-27T13:00:00Z,panel,Angela Vithoulkas
Wednesday February 28,2018-02-27T13:00:00Z,panel,Jacqueline Maley
Wednesday February 28,2018-02-27T13:00:00Z,panel,Toby Ralph
Wednesday February 28,2018-02-27T13:00:00Z,panel,Nick Rowley
Tuesday February 27,2018-02-26T13:00:00Z,panel,Kerryn Phelps
Tuesday February 27,2018-02-26T13:00:00Z,panel,Adam Carrel
Tuesday February 27,2018-02-26T13:00:00Z,panel,Dee Madigan
Tuesday February 27,2018-02-26T13:00:00Z,panel,John Hewson
Monday February 26,2018-02-25T13:00:00Z,panel,Ming Long
Monday February 26,2018-02-25T13:00:00Z,panel,Peter Van Onselen
Monday February 26,2018-02-25T13:00:00Z,panel,Rebecca Huntley
Friday February 23,2018-02-22T13:00:00Z,panel,Cate McGregor
Friday February 23,2018-02-22T13:00:00Z,panel,Eddie Ayres
Friday February 23,2018-02-22T13:00:00Z,panel,Max Mackenzie
Friday February 23,2018-02-22T13:00:00Z,panel,Jo Inkpin
Thursday February 22,2018-02-21T13:00:00Z,panel,Betsey Stevenson
Thursday February 22,2018-02-21T13:00:00Z,panel,Joe Williams
Thursday February 22,2018-02-21T13:00:00Z,panel,Emma Dawson
Thursday February 22,2018-02-21T13:00:00Z,panel,Judith Sloan
Wednesday February 21,2018-02-20T13:00:00Z,panel,Aaron Patrick
Wednesday February 21,2018-02-20T13:00:00Z,panel,Jane Fynes-Clinton
Wednesday February 21,2018-02-20T13:00:00Z,panel,Mark Kenny
Wednesday February 21,2018-02-20T13:00:00Z,panel,Kate Mills
Tuesday February 20,2018-02-19T13:00:00Z,panel,Jennifer Hewett
Tuesday February 20,2018-02-19T13:00:00Z,panel,Justin Wolfers
Tuesday February 20,2018-02-19T13:00:00Z,panel,Katie Acheson
Tuesday February 20,2018-02-19T13:00:00Z,panel,Trish Worth
Monday February 19,2018-02-18T13:00:00Z,panel,Van Badham
Monday February 19,2018-02-18T13:00:00Z,panel,Graeme Innes
Monday February 19,2018-02-18T13:00:00Z,panel,Parnell McGuinness
Friday February 16,2018-02-15T13:00:00Z,panel,Bill Crews
Friday February 16,2018-02-15T13:00:00Z,panel,Jane Caro
Friday February 16,2018-02-15T13:00:00Z,panel,Greg Sheridan
Friday February 16,2018-02-15T13:00:00Z,panel,Amanda Rose
Thursday February 15,2018-02-14T13:00:00Z,panel,Paul Farrell
Thursday February 15,2018-02-14T13:00:00Z,panel,Kerry Chikarovski
Thursday February 15,2018-02-14T13:00:00Z,panel,Avril Henry
Thursday February 15,2018-02-14T13:00:00Z,panel,Anne Davies
Wednesday February 14,2018-02-13T13:00:00Z,panel,Stephen O’Doherty
Wednesday February 14,2018-02-13T13:00:00Z,panel,Dai Le
Wednesday February 14,2018-02-13T13:00:00Z,panel,Annika Smethurst
Wednesday February 14,2018-02-13T13:00:00Z,panel,Jane Gilmore
Tuesday February 13,2018-02-12T13:00:00Z,panel,Sharri Markson
Tuesday February 13,2018-02-12T13:00:00Z,panel,Rory O’Connor
Tuesday February 13,2018-02-12T13:00:00Z,panel,Peter Hannam
Tuesday February 13,2018-02-12T13:00:00Z,panel,Peter Martin
Monday February 12,2018-02-11T13:00:00Z,panel,John Stanley
Monday February 12,2018-02-11T13:00:00Z,panel,Shane Wright
Monday February 12,2018-02-11T13:00:00Z,panel,Wendy Machin
Friday February 9,2018-02-08T13:00:00Z,panel,Dr Chris Pepin Neff
Friday February 9,2018-02-08T13:00:00Z,panel,Maha Abdo
Friday February 9,2018-02-08T13:00:00Z,panel,Craig Chung
Thursday February 8,2018-02-07T13:00:00Z,panel,Michael Pembroke
Thursday February 8,2018-02-07T13:00:00Z,panel,Hannah McGlade
Thursday February 8,2018-02-07T13:00:00Z,panel,Dr Darren Saunders
Wednesday February 7,2018-02-06T13:00:00Z,panel,Malcolm Farr
Wednesday February 7,2018-02-06T13:00:00Z,panel,Elaine Pearson
Wednesday February 7,2018-02-06T13:00:00Z,panel,Simon Cowan
Wednesday February 7,2018-02-06T13:00:00Z,panel,Maxine McKew
Tuesday February 6,2018-02-05T13:00:00Z,panel,Adam Creighton
Tuesday February 6,2018-02-05T13:00:00Z,panel,Sarah Martin
Tuesday February 6,2018-02-05T13:00:00Z,panel,Ali Kadri
Monday February 5,2018-02-04T13:00:00Z,panel,Peter Lewis
Monday February 5,2018-02-04T13:00:00Z,panel,Michael Pascoe
Monday February 5,2018-02-04T13:00:00Z,panel,Peter Collins
Monday February 5,2018-02-04T13:00:00Z,panel,Karen Middleton
Friday February 2,2018-02-01T13:00:00Z,panel,Lydia Shelly
Friday February 2,2018-02-01T13:00:00Z,panel,Jonathan Green
Friday February 2,2018-02-01T13:00:00Z,panel,Gray Connolly
Friday February 2,2018-02-01T13:00:00Z,panel,Clive Hamilton
Thursday February 1,2018-01-31T13:00:00Z,panel,Sam Crosby
Thursday February 1,2018-01-31T13:00:00Z,panel,Jackie Kelly
Thursday February 1,2018-01-31T13:00:00Z,panel,Peter Martin
Wednesday January 31,2018-01-30T13:00:00Z,panel,Caroline Overington
Wednesday January 31,2018-01-30T13:00:00Z,panel,Jennifer Hewett
Wednesday January 31,2018-01-30T13:00:00Z,panel,Dr John Blaxland
Wednesday January 31,2018-01-30T13:00:00Z,panel,Damien Cave
Tuesday January 30,2018-01-29T13:00:00Z,panel,Osman Faruqi
Tuesday January 30,2018-01-29T13:00:00Z,panel,Madonna King
Tuesday January 30,2018-01-29T13:00:00Z,panel,Peter Van Onselen
Monday January 29,2018-01-28T13:00:00Z,panel,Paul Bongiorno Verity Firth
Monday January 29,2018-01-28T13:00:00Z,panel,Geoffrey Winters
Friday January 26,2018-01-25T13:00:00Z,panel,NA
Thursday January 25,2018-01-24T13:00:00Z,panel,Rebecca Weisser
Thursday January 25,2018-01-24T13:00:00Z,panel,Bob Brown
Thursday January 25,2018-01-24T13:00:00Z,panel,Narelle Hooper
Wednesday January 24,2018-01-23T13:00:00Z,panel,Josephine Cashman
Wednesday January 24,2018-01-23T13:00:00Z,panel,David Borger
Wednesday January 24,2018-01-23T13:00:00Z,panel,James Morrow
Tuesday January 23,2018-01-22T13:00:00Z,panel,Ruben Meerman
Tuesday January 23,2018-01-22T13:00:00Z,panel,Rachael Jacobs
Tuesday January 23,2018-01-22T13:00:00Z,panel,Michael Jenson
Monday January 22,2018-01-21T13:00:00Z,panel,Ming Long
Monday January 22,2018-01-21T13:00:00Z,panel,Jane Caro
Monday January 22,2018-01-21T13:00:00Z,panel,Gary Marks
Friday January 19,2018-01-18T13:00:00Z,panel,Simon Jackman
Friday January 19,2018-01-18T13:00:00Z,panel,Barbara Heineback
Friday January 19,2018-01-18T13:00:00Z,panel,Sara James
Friday January 19,2018-01-18T13:00:00Z,panel,Bruce Wolpe
Thursday January 18,2018-01-17T13:00:00Z,panel,Anne Fulwood
Thursday January 18,2018-01-17T13:00:00Z,panel,Sunil Badami
Thursday January 18,2018-01-17T13:00:00Z,panel,Toby Ralph
Wednesday January 17,2018-01-16T13:00:00Z,panel,Carolyn Evans
Wednesday January 17,2018-01-16T13:00:00Z,panel,Aaron Patrick
Wednesday January 17,2018-01-16T13:00:00Z,panel,Lisa Annese
Wednesday January 17,2018-01-16T13:00:00Z,panel,Matthew Phillips
Tuesday January 16,2018-01-15T13:00:00Z,panel,Kate Carnell
Tuesday January 16,2018-01-15T13:00:00Z,panel,Jan Fran
Tuesday January 16,2018-01-15T13:00:00Z,panel,Norman Swan
Monday January 15,2018-01-14T13:00:00Z,panel,Amanda Vanstone
Monday January 15,2018-01-14T13:00:00Z,panel,Claire Madden
Monday January 15,2018-01-14T13:00:00Z,panel,Toby Walsh
Friday January 12,2018-01-11T13:00:00Z,panel,Pallavi Sinha
Friday January 12,2018-01-11T13:00:00Z,panel,Dr Matthew Beard
Friday January 12,2018-01-11T13:00:00Z,panel,Pat Farmer
Thursday January 11,2018-01-10T13:00:00Z,panel,Amantha Imber
Thursday January 11,2018-01-10T13:00:00Z,panel,Paul Farrell
Thursday January 11,2018-01-10T13:00:00Z,panel,Councillor Dai Le
Wednesday January 10,2018-01-09T13:00:00Z,panel,Michael Biercuk
Wednesday January 10,2018-01-09T13:00:00Z,panel,Lena Nahlous
Wednesday January 10,2018-01-09T13:00:00Z,panel,Mike Gallacher
Tuesday January 9,2018-01-08T13:00:00Z,panel,Andrew Purchas
Tuesday January 9,2018-01-08T13:00:00Z,panel,Angela Vithoulkas
Tuesday January 9,2018-01-08T13:00:00Z,panel,Peter Martin
Monday January 8,2018-01-07T13:00:00Z,panel,Stephen O'Doherty
Monday January 8,2018-01-07T13:00:00Z,panel,Kerryn Phelps
Monday January 8,2018-01-07T13:00:00Z,panel,Jacinta Price
Friday January 5,2018-01-04T13:00:00Z,panel,Tasneem Chopra
Friday January 5,2018-01-04T13:00:00Z,panel,Dr Darren Saunders
Friday January 5,2018-01-04T13:00:00Z,panel,Patricia Forsythe
Thursday January 4,2018-01-03T13:00:00Z,panel,Kate Mills
Thursday January 4,2018-01-03T13:00:00Z,panel,Ross Dawson
Thursday January 4,2018-01-03T13:00:00Z,panel,Terry Barnes
Wednesday January 3,2018-01-02T13:00:00Z,panel,Amanda Rose
Wednesday January 3,2018-01-02T13:00:00Z,panel,Caroline Overington
Wednesday January 3,2018-01-02T13:00:00Z,panel,David Roy
Tuesday January 2,2018-01-01T13:00:00Z,panel,Katie Acheson
Tuesday January 2,2018-01-01T13:00:00Z,panel,David Hetherington
Tuesday January 2,2018-01-01T13:00:00Z,panel,Phillip Ruddock
Monday January 1,2017-12-31T13:00:00Z,panel,Alexandra Tselios
Monday January 1,2017-12-31T13:00:00Z,panel,Tracey McLeod Howe
Monday January 1,2017-12-31T13:00:00Z,panel,Nicki Hutley
Monday January 1,2017-12-31T13:00:00Z,panel,Jonathan Green
Friday December 22,2018-12-21T13:00:00Z,panel,Shellie Morris
Friday December 22,2018-12-21T13:00:00Z,panel,Tory Shepherd
Friday December 22,2018-12-21T13:00:00Z,panel,Adam Spencer
Thursday December 21,2018-12-20T13:00:00Z,panel,Jane Caro
Thursday December 21,2018-12-20T13:00:00Z,panel,Candy Bowers
Thursday December 21,2018-12-20T13:00:00Z,panel,Kate McClymont
Thursday December 21,2018-12-20T13:00:00Z,panel,Dr Darren Saunders
Wednesday December 20,2018-12-19T13:00:00Z,panel,Michael Biercuk
Wednesday December 20,2018-12-19T13:00:00Z,panel,Jan Fran
Wednesday December 20,2018-12-19T13:00:00Z,panel,Geoffrey Winters
Tuesday December 19,2018-12-18T13:00:00Z,panel,Michael Bachelard
Tuesday December 19,2018-12-18T13:00:00Z,panel,Peter Greste
Tuesday December 19,2018-12-18T13:00:00Z,panel,Deborah Snow
Monday December 18,2018-12-17T13:00:00Z,panel,Ming Long
Monday December 18,2018-12-17T13:00:00Z,panel,Kerry Chikarovski
Monday December 18,2018-12-17T13:00:00Z,panel,Katharine Murphy
Friday December 15,2018-12-14T13:00:00Z,panel,Dr Carolyn Quadrio
Friday December 15,2018-12-14T13:00:00Z,panel,Noel Debein
Friday December 15,2018-12-14T13:00:00Z,panel,Thomas Keneally
Friday December 15,2018-12-14T13:00:00Z,panel,Rev. Prof. Ian Waters
Thursday December 14,2018-12-13T13:00:00Z,panel,Paul Bongiorno
Thursday December 14,2018-12-13T13:00:00Z,panel,Lydia Shelly
Thursday December 14,2018-12-13T13:00:00Z,panel,Bill Crews
Wednesday December 13,2018-12-12T13:00:00Z,panel,Aaron Patrick
Wednesday December 13,2018-12-12T13:00:00Z,panel,Silma Ihram
Wednesday December 13,2018-12-12T13:00:00Z,panel,Fiona McLeod
Tuesday December 12,2018-12-11T13:00:00Z,panel,Paul Farrell
Tuesday December 12,2018-12-11T13:00:00Z,panel,Lisa Annese
Tuesday December 12,2018-12-11T13:00:00Z,panel,Angela Vithoulkas
Monday December 11,2018-12-10T13:00:00Z,panel,Dr John Hewson
Monday December 11,2018-12-10T13:00:00Z,panel,Avril Henry
Monday December 11,2018-12-10T13:00:00Z,panel,Osman Faruqi
Friday December 8,2018-12-07T13:00:00Z,panel,Georgina Downer
Friday December 8,2018-12-07T13:00:00Z,panel,Shalailah Medhora
Friday December 8,2018-12-07T13:00:00Z,panel,Peter Fitzsimons
Friday December 8,2018-12-07T13:00:00Z,panel,Jacqui Jones
Thursday December 7,2018-12-06T13:00:00Z,panel,David Marr
Thursday December 7,2018-12-06T13:00:00Z,panel,Dee Madigan
Thursday December 7,2018-12-06T13:00:00Z,panel,Jackie Kelly
Thursday December 7,2018-12-06T13:00:00Z,panel,Annika Smethurst
Wednesday December 10,2018-12-09T13:00:00Z,panel,Rick Morton
Wednesday December 10,2018-12-09T13:00:00Z,panel,Jennifer Hewett
Wednesday December 10,2018-12-09T13:00:00Z,panel,Jane Fynes-Clinton
Wednesday December 10,2018-12-09T13:00:00Z,panel,Benjamin Law
Tuesday December 5,2018-12-04T13:00:00Z,panel,Sam Crosby
Tuesday December 5,2018-12-04T13:00:00Z,panel,Sarah Martin
Tuesday December 5,2018-12-04T13:00:00Z,panel,Susan Ryan
Monday December 4,2018-12-03T13:00:00Z,panel,Miranda Devine
Monday December 4,2018-12-03T13:00:00Z,panel,Van Badham
Monday December 4,2018-12-03T13:00:00Z,panel,Shane Wright
